Project,Test,Test,,,,,,,,
File,5-4-26 Circle Center c1-c9,,,,,,,,,
Kinetic Engine Trans Point Array Data,,,,,,,,,,
point,,1,2,3,4,5,6,7,8,9
Time in sec,,318.043109,344.526189,414.042726,471.524547,534.313689,600.080254,660.585494,721.090733,774.027606
Swing Center,X,0,0,0,0,0,0,0,0,0
Pin 15,X,5.10851,-359.445,-549.488,-487.219,-193.344,186.89,482.205,549.32,360.905
Pin 12,X,-869.166,-417.713,215.856,756.963,944.241,688.355,108.866,-535.447,-907.432
Pin 2,X,-1214.11,-641.333,214.042,980.4,1289.01,991.958,229.113,-660.875,-1210.9
Pin 14,X,-1065.43,-739.288,-79.5972,624.939,1039.67,963.656,436.368,-313.55,-889.367
Pin 1,X,-1007.14,-507.161,215.111,846.338,1082.15,809.798,156.964,-585.618,-1028.82
Pin 3,X,-1194.98,-628.932,214.1,967.745,1269.89,975.263,222.173,-653.92,-1194.19
Pin 4,X,-893.278,-433.344,215.729,772.241,968.603,709.808,117.363,-544.214,-928.645
Boom Vertex 1,X,-625.65,-259.849,217.172,598.98,701.044,474.194,24.0462,-446.901,-693.195
Boom Vertex 2,X,-718.948,-320.437,216.67,659.568,793.959,556.419,56.3146,-480.772,-775.204
Pin 6,X,-2046.56,-1180.87,209.503,1519.82,2121.03,1725,518.869,-963.711,-1943.25
Pin 5,X,-1612.55,-899.543,211.845,1238,1687.23,1342.98,367.817,-805.893,-1561.59
Pin 7,X,-2246.28,-1310.06,208.43,1648.33,2320.72,1901.19,588.464,-1036.19,-2119.28
Pin 8,X,-3442.03,-2084.97,201.978,2422.78,3515.9,2953.75,1005.01,-1470.98,-3171.49
Pin 10,X,-3647.5,-2218.4,200.872,2556.35,3720.72,3134.04,1077.36,-1545.49,-3351.32
Pin 9,X,-3627.31,-2204.86,200.978,2542.84,3701.11,3115.56,1070.52,-1539.29,-3334.19
Point G,X,-3627.31,-2205.57,201.987,2542.84,3701.26,3116.65,1070.58,-1538.42,-3334.65
Point H,X,-3874.61,-2365.66,200.654,2702.85,3947.85,3334.58,1156.67,-1628.23,-3551.35
