Project,Test,Test,,,,,,,,,,,,,,,,,,,,,,,,,
File,5-4-26 Circle Center c1-c9,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic Engine Trans Point Array Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,
Time,5m 18.043109s,,,5m 44.526189s,,,6m 54.042726s,,,7m 51.524547s,,,8m 54.313689s,,,10m 0.080254s,,,11m 0.585494s,,,12m 1.090733s,,,12m 54.027606s,,
Time in sec,318.043109,5,18.043109s,344.526189,5,44.526189s,414.042726,6,54.042726s,471.524547,7,51.524547s,534.313689,8,54.313689s,600.080254,10,0.080254s,660.585494,11,0.585494s,721.090733,12,1.090733s,774.027606,12,54.027606s
PHYS,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,
Swing Center,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05
Pin 15,5.10851,768.5,558.994,-359.445,768.5,428.135,-549.488,768.5,102.773,-487.219,768.5,-274.077,-193.344,768.5,-524.517,186.89,768.5,-526.851,482.205,768.5,-282.804,549.32,768.5,103.669,360.905,768.5,427.003
Pin 12,-869.166,1073.5,-373.591,-417.713,1073.5,-848.844,215.856,1073.5,-921.101,756.963,1073.5,-567.474,944.241,1073.5,58.6813,688.355,1073.5,649.178,108.866,1073.5,939.8,-535.447,1073.5,779.801,-907.432,1073.5,267.557
Pin 2,-1214.11,963,-432.863,-641.333,963,-1118.15,214.042,963,-1271.1,980.4,963,-836.904,1289.01,963,-1.58237,991.958,963,823.163,229.113,963,1268.56,-660.875,963,1106.7,-1210.9,963,441.606
Pin 14,-1065.43,768.5,-108.308,-739.288,768.5,-774.889,-79.5972,768.5,-1068.03,624.939,768.5,-869.884,1039.67,768.5,-257.314,963.656,768.5,467.286,436.368,768.5,978.198,-313.55,768.5,1024.19,-889.367,768.5,596.801
Pin 1,-1007.14,1303,-397.3,-507.161,1303,-956.567,215.111,1303,-1061.1,846.338,1303,-675.246,1082.15,1303,34.5774,809.798,1303,718.88,156.964,1303,1071.3,-585.618,1303,910.648,-1028.82,1303,337.309
Pin 3,-1194.98,2820.58,-429.471,-628.932,2820.49,-1102.9,214.1,2820.58,-1251.69,967.745,2820.55,-821.485,1269.89,2820.45,1.59019,975.263,2820.5,813.607,222.173,2820.5,1250.33,-653.92,2820.58,1088.58,-1194.19,2820.47,432.043
Pin 4,-893.278,3256.97,-377.599,-433.344,3256.98,-867.259,215.729,3256.97,-945.566,772.241,3256.98,-585.587,968.603,3257.05,54.3372,709.808,3257.02,661.297,117.363,3257.02,963.031,-544.214,3256.97,802.787,-928.645,3257.03,279.227
Boom Vertex 1,-625.65,2718.5,-331.512,-259.849,2718.66,-658.728,217.172,2718.5,-674.024,598.98,2718.56,-376.826,701.044,2718.77,101.093,474.194,2718.66,526.034,24.0462,2718.66,707.894,-446.901,2718.5,549.457,-693.195,2718.71,144.265
Boom Vertex 2,-718.948,3024.66,-347.481,-320.437,3024.78,-731.453,216.67,3024.66,-768.539,659.568,3024.78,-449.488,793.959,3024.9,84.7999,556.419,3024.86,573.064,56.3146,3024.86,796.714,-480.772,3024.78,637.744,-775.204,3024.86,191.334
Pin 6,-2046.56,4170.9,-575.904,-1180.87,4170.18,-1768.07,209.503,4170.9,-2115.74,1519.82,4170.47,-1486.21,2121.03,4170.04,-147.359,1725,4170.18,1243.96,518.869,4170.18,2062.18,-963.711,4170.47,1894.99,-1943.25,4170.47,862.235
Pin 5,-1612.55,4101.71,-501.199,-899.543,4101.15,-1429.22,211.845,4101.55,-1675.37,1238,4101.47,-1146.64,1687.23,4101.19,-71.9366,1342.98,4101.18,1024.9,367.817,4101.06,1648.57,-805.893,4101.42,1484.13,-1561.59,4101.34,642.944
Pin 7,-2246.28,4767.05,-610.236,-1310.06,4766.62,-1923.93,208.43,4766.82,-2317.43,1648.33,4766.65,-1642.08,2320.72,4765.94,-182.276,1901.19,4766.31,1345.05,588.464,4766.36,2252.07,-1036.19,4766.77,2084.36,-2119.28,4766.65,963.65
Pin 8,-3442.03,5208.15,-815.667,-2084.97,5208,-2856.74,201.978,5208.34,-3530.44,2422.78,5208.34,-2575.54,3515.9,5206.46,-391.331,2953.75,5207.33,1949.11,1005.01,5207.33,3391.56,-1470.98,5207.33,3217,-3171.49,5207.33,1568.58
Pin 10,-3647.5,5502.53,-850.904,-2218.4,5501.88,-3016.78,200.872,5501.88,-3738.32,2556.35,5502.02,-2735.57,3720.72,5500.42,-427.18,3134.04,5501.15,2052.69,1077.36,5501.15,3586.91,-1545.49,5500.93,3411.21,-3351.32,5501.15,1672.22
Pin 9,-3627.31,5332.53,-847.341,-2204.86,5332.02,-3001.6,200.978,5331.88,-3718.01,2542.84,5331.88,-2719.94,3701.11,5329.99,-423.804,3115.56,5330.79,2042.78,1070.52,5331.59,3568.55,-1539.29,5330.94,3392.21,-3334.19,5331.81,1661.34
Point G,-3627.31,5332.52,-847.527,-2205.57,5332.01,-3001.36,201.987,5331.94,-3717.98,2542.84,5331.91,-2719.94,3701.26,5329.96,-423.777,3116.65,5330.79,2041.93,1070.58,5331.59,3568.55,-1538.42,5330.91,3392.21,-3334.65,5331.82,1661.42
Point H,-3874.61,5259.24,-889.97,-2365.66,5259.09,-3195.05,200.654,5258.05,-3968.66,2702.85,5258.84,-2913.72,3947.85,5257.25,-468.127,3334.58,5257.9,2166.45,1156.67,5258.8,3803.96,-1628.23,5258.3,3626.61,-3551.35,5259.6,1786.53
Point Q,-4094.31,4782.54,-927.736,-2508.11,4781.97,-3365.91,198.467,4782.25,-4191.86,2845.3,4782.82,-3085.44,4167.4,4781.26,-507.293,3527.79,4782.25,2277.35,1233.25,4782.39,4013.1,-1708.13,4782.25,3834.81,-3744.65,4784.1,1897.38
Point Q Left,-4145.83,4782.54,-627.141,-2742.42,4782.25,-3171.09,-106.529,4781.97,-4190.13,2610.28,4783.1,-3280.12,4114.89,4781.26,-805.719,3678.85,4781.82,2012.79,1519.65,4782.67,3908.4,-1423.39,4781.68,3944.08,-3592.69,4784.38,2161.85
Point Q Right,-4042.45,4782.82,-1228.33,-2273,4781.97,-3561.45,503.462,4781.97,-4192.5,3079.76,4783.1,-2890.7,4220.22,4781.11,-204.936,3374.88,4781.97,2543.06,946.618,4782.39,4117.81,-1992.87,4781.97,3725.35,-3895.89,4783.67,1633.1
Point Z,-3907.58,4608.25,-894.61,-2386.23,4607.43,-3220.28,198.928,4607.43,-4002.59,2724.18,4608.48,-2939.31,3981.14,4606.62,-472.722,3362.72,4607.43,2184.29,1166.97,4607.8,3835.61,-1640.28,4607.4,3658.49,-3579.27,4609,1804.35
Point Z Left,-3959.34,4608.37,-594.002,-2621.45,4607.43,-3025.48,-106.022,4607.68,-4000.07,2489.46,4608.23,-3134.41,3927.7,4606.37,-773.161,3514.62,4607.68,1919.17,1453.39,4607.8,3730.59,-1355.51,4607.03,3766.53,-3427.36,4609,2067.84
Point Z Right,-3856.25,4608.37,-1196.28,-2152.08,4607.43,-3415.09,504.469,4607.17,-4004.21,2958.98,4608.23,-2745.4,4032.8,4606.77,-172.294,3210.97,4607.17,2463.58,880.467,4607.8,3940,-1924.99,4607.03,3548.66,-3731.26,4609,1538.9
Point J1,-3605.02,4564.48,-843.713,-2190.73,4563.77,-2984.12,201.106,4563.77,-3695.67,2528.29,4564.7,-2703.76,3677.9,4563.62,-419.844,3097.13,4563.62,2030.3,1061.11,4563.48,3547.05,-1529.94,4563.98,3371.42,-3313.65,4565.28,1650.48
Point J Prime,-3322.09,4524.16,-795.071,-2007.34,4523.52,-2763.87,202.167,4523.52,-3408.62,2344.96,4524.12,-2482.73,3394.97,4523.16,-370.368,2847.24,4523.52,1887.44,962.992,4523.23,3277.6,-1427.05,4523.2,3103.37,-3064.62,4525.12,1507.45
Point J Prime Left,-3373.74,4524.18,-494.477,-2241.96,4523.6,-2569.07,-102.368,4523.53,-3406.95,2109.91,4524.05,-2677.11,3343.38,4523.16,-670.798,2998.63,4523.52,1623.69,1249.46,4523.2,3172.14,-1142.95,4523.14,3212.76,-2911.97,4525.06,1771.7
Point J Prime Right,-3270.39,4523.8,-1095.67,-1772.09,4523.98,-2958,507.158,4524.16,-3410.24,2579.52,4524.3,-2287.08,3448.49,4523.16,-69.8542,2695.34,4523.52,2151.8,676.528,4523.2,3381.26,-1712.91,4523.02,2994.07,-3215.41,4524.68,1242.98
Point J,-3322.04,4523.98,-794.165,-2006.77,4523.8,-2763.2,202.163,4523.98,-3409.01,2344.69,4524.16,-2482.21,3395.93,4522.7,-370.284,2847.13,4523.34,1887.25,962.992,4523.2,3277.73,-1428.21,4523.16,3103.37,-3063.5,4523.52,1508.24
Bench Point 1,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932,4113.04,692.224,221.932
