Project,TEST,TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,5-4-26 Cylinder w1-w25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetic Engine Trans Point Array Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,
Time,4m 26.036444s,,,7m 17.041068s,,,8m 53.781553s,,,10m 33.525494s,,,12m 0.04758s,,,13m 15.051657s,,,14m 47.04963s,,,16m 44.560768s,,,18m 8.646288s,,,19m 11.528384s,,,20m 41.135371s,,,21m 48.733624s,,,23m 4.19214s,,,24m 29.082969s,,,25m 55.545852s,,,28m 20.174672s,,,29m 45.065502s,,,30m 58.951965s,,,32m 36.419214s,,,33m 34.585153s,,,36m 7.074236s,,,37m 16.393285s,,,38m 31.8518s,,,39m 42.594158s,,,41m 12.201145s,,
Time in sec,266.036444,4,26.036444s,437.041068,7,17.041068s,533.781553,8,53.781553s,633.525494,10,33.525494s,720.04758,12,0.04758s,795.051657,13,15.051657s,887.04963,14,47.04963s,1004.560768,16,44.560768s,1088.646288,18,8.646288s,1151.528384,19,11.528384s,1241.135371,20,41.135371s,1308.733624,21,48.733624s,1384.19214,23,4.19214s,1469.082969,24,29.082969s,1555.545852,25,55.545852s,1700.174672,28,20.174672s,1785.065502,29,45.065502s,1858.951965,30,58.951965s,1956.419214,32,36.419214s,2014.585153,33,34.585153s,2167.074236,36,7.074236s,2236.393285,37,16.393285s,2311.8518,38,31.8518s,2382.594158,39,42.594158s,2472.201145,41,12.201145s
PHYS,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,,PHYS,,
Swing Center,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05,0,1303,-5.70E-05
Pin 15,-100.225,768.5,-549.959,-100.075,768.5,-549.986,-100.075,768.5,-549.986,-100,768.5,-549.986,-100.075,768.5,-550,-100,768.5,-550,-99.925,768.5,-550,-100.075,768.5,-550.014,-99.925,768.5,-549.986,-100.075,768.5,-550,-99.925,768.5,-550.014,-99.925,768.5,-550.014,-99.925,768.5,-550.014,-99.925,768.5,-550.014,-99.925,768.5,-550.014,-99.925,768.5,-550.041,-99.775,768.5,-550.041,-99.7,768.5,-550.041,-99.775,768.5,-550.041,-99.7,768.5,-550.041,-99.775,768.5,-550.041,-99.7,768.5,-550.055,-99.7,768.5,-550.055,-99.55,768.5,-550.041,-99.7,768.5,-550.041
Pin 12,920.09,1073.5,220.124,920.03,1073.5,220.375,920,1073.5,220.375,920.03,1073.5,220.375,920.03,1073.5,220.5,920.03,1073.5,220.5,916,1073.5,220.5,920,1073.5,220.375,919.97,1073.5,220.5,920,1073.5,220.5,919.97,1073.5,220.625,919.97,1073.5,220.625,919.97,1073.5,220.625,919.97,1073.5,220.625,919.97,1073.5,220.625,919.91,1073.5,220.876,919.91,1073.5,220.876,919.88,1073.5,221.002,919.88,1073.5,221.002,919.91,1073.5,220.625,919.88,1073.5,220.876,919.88,1073.5,221.002,919.91,1073.5,221.002,919.88,1073.5,221.002,919.88,1073.5,221.253
Pin 2,1270.09,963,219.231,1270.03,963,220.375,1270.03,963,220.231,1270.03,963,220.405,1270,963,220.279,1264.55,963,282.436,1264.49,963,282.138,1264.47,963,282.624,1264.41,963,282.279,1264.47,963,282.577,1248.63,963,341.005,1248.63,963,340.96,1248.63,963,340.915,1248.62,963,340.96,1248.7,963,341.166,1167.06,963,468.383,1167.06,963,468.86,1167.06,963,468.826,1167.24,963,468.532,1167.4,963,468.59,1071.86,963,536.288,1071.89,963,536.267,1071.91,963,536.267,1071.9,963,536.121,1071.98,963,536.497
Pin 14,1068.43,768.5,-74.3741,1068.53,768.5,-74.313,1068.41,768.5,-74.3737,1068.41,768.5,-74.2272,1068.5,768.5,-74.3535,1118.14,768.5,-43.2041,1118.21,768.5,-43.4828,1118.29,768.5,-43.097,1118.32,768.5,-43.4017,1118.32,768.5,-43.1239,1160.73,768.5,-5.00824,1160.73,768.5,-5.04105,1160.73,768.5,-5.07393,1160.77,768.5,-5.04109,1160.61,768.5,-4.82301,1233.46,768.5,117.598,1233.42,768.5,118.103,1233.39,768.5,118.059,1233.36,768.5,117.72,1233.29,768.5,117.759,1249.85,768.5,226.82,1249.82,768.5,226.776,1249.82,768.5,226.775,1249.82,768.5,226.605,1249.82,768.5,226.984
Pin 1,1060.09,1303,220.028,1060.03,1303,220.374,1060.03,1303,220.317,1060.03,1303,220.317,1060.03,1303,220.336,1057.77,1303,245.205,1057.8,1303,245.224,1057.79,1303,245.281,1057.79,1303,245.281,1057.82,1303,245.406,1051.44,1303,268.777,1051.44,1303,269.046,1051.44,1303,268.741,1051.43,1303,268.759,1051.46,1303,268.705,1018.77,1303,320.006,1018.77,1303,319.728,1018.8,1303,319.993,1018.86,1303,320.078,1018.9,1303,319.62,980.715,1303,347.116,980.732,1303,346.974,980.668,1303,347.108,980.702,1303,347.099,980.719,1303,347.083
Pin 3,1628.43,2722.9,220.085,2164.73,2360.27,220.67,1250.83,2820.5,220.239,1251.03,2820.47,220.41,1250.62,2820.5,220.455,1245.41,2820.5,278.838,1248.86,2820.05,279.674,2135.03,2371.64,439.021,1990.39,2503.4,413.274,1921.73,2555.43,400.488,1798.04,2609.19,542.238,1632.59,2701.8,481.541,1634.07,2700.68,482.165,2086.42,2362.96,647.824,1230.66,2820.47,334.302,1828.54,2315.44,1131.69,1554.2,2631.33,856.73,1445.71,2707.82,748.197,1323.81,2770.31,625.4,1153.67,2820.49,455.006,1521.62,2190.92,1468.89,1332.11,2600.67,1076.24,1256.53,2694.43,919.139,1188.29,2755.86,777.318,1062.73,2820.76,516.861
Pin 4,1442.72,3222.67,220.161,2202.76,2892.08,220.375,944.495,3257.02,220.365,944.998,3257.03,220.364,944.495,3257.02,220.497,944.082,3257.02,224.817,948.54,3257.28,225.491,2166.67,2903.69,445.073,1954.6,3035.32,406.556,1856.2,3084.53,388.699,1703.57,3132.81,507.633,1475.14,3207.71,423.891,1477.33,3207.04,424.618,2120.98,2895.2,660.379,943.198,3257.03,229.21,1870.2,2845.33,1173.44,1472.57,3151.88,774.792,1323.73,3212.29,625.63,1159.71,3250.23,460.432,937.177,3256.98,238.497,1570.81,2711.82,1571.07,1291.28,3125.21,990.822,1186.15,3202.42,773.394,1094.1,3242.95,582.199,929.469,3256.86,240.635
Boom Vertex 1,1043.8,2770.54,220.039,1652.47,2645.73,220.375,672.95,2718.66,220.476,673.304,2718.77,220.475,672.95,2718.66,220.442,676.791,2718.66,176.806,680.028,2719.55,177.352,1627.56,2651.63,349.746,1451.91,2714.9,316.189,1372.27,2735.47,301.706,1263.98,2753.01,346.625,1085.55,2770.19,281.25,1087.24,2770.12,281.847,1604.83,2647.09,471.387,688.087,2718.66,135.903,1474.9,2620.99,777.154,1149.71,2758.85,451.246,1033.87,2770.47,335.231,909.246,2762.41,209.184,745.19,2718.66,46.3545,1318.97,2546.82,1049.22,1086.09,2750.45,565.398,1003.83,2769.66,395.148,933.499,2766.6,249.238,811.751,2718.19,-3.25208
Boom Vertex 2,1212.65,3042.85,219.924,1918.61,2823.73,220.375,767.466,3024.86,220.437,767.935,3024.94,220.437,767.466,3024.86,220.416,769.826,3024.86,193.471,773.759,3025.53,194.156,1888.04,2832.32,394.587,1687.28,2928.12,358.53,1595.19,2962.01,341.781,1462.65,2993.57,419.394,1253.23,3036.32,342.645,1255.23,3036,343.332,1854.65,2825.72,562.859,776.898,3024.9,168.392,1668.13,2788.21,970.713,1294.27,3005.38,596.179,1157.89,3038.37,459.737,1009.89,3049.49,310.927,811.698,3024.78,113.244,1444.76,2684.74,1309.82,1178.98,2988.8,758.344,1082.9,3033.66,558.755,999.29,3049.01,385.636,852.337,3024.5,81.491
